DEBUG:__main__:Training GANS with NetG[conv. layers: 4, drop out: 0.4] and NetD[conv. layers: 3]
DEBUG:__main__:Epoch: 0000 | Error G: 16.823129653930664 | Error D: -13.082225799560547
DEBUG:__main__:Training GANS with NetG[conv. layers: 4, drop out: 0.4] and NetD[conv. layers: 3]
DEBUG:__main__:Epoch: 0000 | Error G: 16.822208404541016 | Error D: -13.082417488098145
DEBUG:__main__:Epoch: 0010 | Error G: 115.429443359375 | Error D: -166.06507873535156
DEBUG:__main__:Training GANS with NetG[conv. layers: 4, drop out: 0.4] and NetD[conv. layers: 3]
DEBUG:__main__:Epoch: 0000 | Error G: 14.526694297790527 | Error D: -10.983160018920898
DEBUG:__main__:Epoch: 0010 | Error G: 115.50066375732422 | Error D: -145.7593231201172
DEBUG:__main__:Epoch: 0020 | Error G: 227.65074157714844 | Error D: -273.17449951171875
DEBUG:__main__:Epoch: 0030 | Error G: 357.7718200683594 | Error D: -479.0894775390625
DEBUG:__main__:Epoch: 0040 | Error G: 526.4802856445312 | Error D: -684.6455078125
DEBUG:__main__:Epoch: 0050 | Error G: 691.3519287109375 | Error D: -1005.5471801757812
DEBUG:__main__:Epoch: 0060 | Error G: 868.5475463867188 | Error D: -1291.6217041015625
DEBUG:__main__:Epoch: 0070 | Error G: 912.0531616210938 | Error D: -1370.016357421875
DEBUG:__main__:Epoch: 0080 | Error G: 1271.1878662109375 | Error D: -1960.8240966796875
DEBUG:__main__:Epoch: 0090 | Error G: 1402.7113037109375 | Error D: -2333.61767578125
DEBUG:__main__:Epoch: 0100 | Error G: 1357.391845703125 | Error D: -2649.217041015625
DEBUG:__main__:Epoch: 0110 | Error G: 1969.701171875 | Error D: -3173.885009765625
DEBUG:__main__:Epoch: 0120 | Error G: 2153.135498046875 | Error D: -3585.736572265625
DEBUG:__main__:Epoch: 0130 | Error G: 2465.216796875 | Error D: -4169.06982421875
DEBUG:__main__:Epoch: 0140 | Error G: 2724.45263671875 | Error D: -4666.72998046875
DEBUG:__main__:Epoch: 0150 | Error G: 2754.41162109375 | Error D: -5165.50927734375
DEBUG:__main__:Epoch: 0160 | Error G: 3286.361083984375 | Error D: -5679.8857421875
DEBUG:__main__:Epoch: 0170 | Error G: 3578.546875 | Error D: -6436.958984375
DEBUG:__main__:Epoch: 0180 | Error G: 3918.49609375 | Error D: -7037.49951171875
DEBUG:__main__:Epoch: 0190 | Error G: 4115.03271484375 | Error D: -7890.8212890625
DEBUG:__main__:Epoch: 0200 | Error G: 4516.298828125 | Error D: -7985.78857421875
DEBUG:__main__:Epoch: 0210 | Error G: 4761.72119140625 | Error D: -8935.9365234375
DEBUG:__main__:Epoch: 0220 | Error G: 5137.8125 | Error D: -10060.5009765625
DEBUG:__main__:Epoch: 0230 | Error G: 5478.35302734375 | Error D: -10737.34765625
DEBUG:__main__:Epoch: 0240 | Error G: 5853.09912109375 | Error D: -11598.529296875
DEBUG:__main__:Epoch: 0250 | Error G: 6161.3779296875 | Error D: -12629.6474609375
DEBUG:__main__:Epoch: 0260 | Error G: 6570.33154296875 | Error D: -13313.9443359375
DEBUG:__main__:Epoch: 0270 | Error G: 6863.63134765625 | Error D: -14071.2255859375
DEBUG:__main__:Epoch: 0280 | Error G: 7265.27490234375 | Error D: -14647.138671875
DEBUG:__main__:Epoch: 0290 | Error G: 7778.01953125 | Error D: -16170.9189453125
DEBUG:__main__:Epoch: 0300 | Error G: 8075.546875 | Error D: -16170.822265625
DEBUG:__main__:Epoch: 0310 | Error G: 7331.92041015625 | Error D: -17451.037109375
DEBUG:__main__:Epoch: 0320 | Error G: 8778.361328125 | Error D: -18343.892578125
DEBUG:__main__:Epoch: 0330 | Error G: 9332.3203125 | Error D: -19108.4296875
DEBUG:__main__:Epoch: 0340 | Error G: 9764.7333984375 | Error D: -20917.87109375
DEBUG:__main__:Epoch: 0350 | Error G: 9974.861328125 | Error D: -21373.60546875
DEBUG:__main__:Epoch: 0360 | Error G: 10477.0849609375 | Error D: -22725.392578125
DEBUG:__main__:Epoch: 0370 | Error G: 11093.7314453125 | Error D: -23010.85546875
DEBUG:__main__:Epoch: 0380 | Error G: 11238.501953125 | Error D: -24683.5
DEBUG:__main__:Epoch: 0390 | Error G: 11667.3447265625 | Error D: -25228.134765625
DEBUG:__main__:Epoch: 0400 | Error G: 12325.0908203125 | Error D: -26256.50390625
DEBUG:__main__:Epoch: 0410 | Error G: 12751.353515625 | Error D: -27699.126953125
DEBUG:__main__:Epoch: 0420 | Error G: 13479.712890625 | Error D: -28193.185546875
DEBUG:__main__:Epoch: 0430 | Error G: 13377.0771484375 | Error D: -29537.599609375
DEBUG:__main__:Epoch: 0440 | Error G: 14257.65625 | Error D: -30295.978515625
DEBUG:__main__:Epoch: 0450 | Error G: 14218.4609375 | Error D: -32363.00390625
DEBUG:__main__:Epoch: 0460 | Error G: 14858.994140625 | Error D: -33218.2890625
DEBUG:__main__:Epoch: 0470 | Error G: 15597.5703125 | Error D: -33078.0234375
DEBUG:__main__:Epoch: 0480 | Error G: 16420.19921875 | Error D: -36057.7265625
DEBUG:__main__:Epoch: 0490 | Error G: 16690.947265625 | Error D: -36864.98046875
DEBUG:loggerGreyscale:Training GANS with NetG[conv. layers: 4, drop out: 0.3] and NetD[conv. layers: 3]
DEBUG:loggerGreyscale:Epoch: 0000 | Error G: -2.0941052436828613 | Error D: 1.5233958959579468
DEBUG:loggerGreyscale:Epoch: 0010 | Error G: 8.619495391845703 | Error D: -80.7568130493164
DEBUG:loggerGreyscale:Epoch: 0020 | Error G: 46.38970184326172 | Error D: -80.04779815673828
DEBUG:loggerGreyscale:Epoch: 0030 | Error G: -8.980657577514648 | Error D: -49.758480072021484
DEBUG:loggerGreyscale:Epoch: 0040 | Error G: 3.3354263305664062 | Error D: -63.548545837402344
DEBUG:loggerGreyscale:Epoch: 0050 | Error G: 55.76993942260742 | Error D: -103.89086151123047
DEBUG:loggerGreyscale:Epoch: 0060 | Error G: -12.295435905456543 | Error D: -60.75635528564453
DEBUG:loggerGreyscale:Epoch: 0070 | Error G: 57.24761962890625 | Error D: -56.894046783447266
DEBUG:loggerGreyscale:Epoch: 0080 | Error G: -53.249107360839844 | Error D: 20.083324432373047
DEBUG:loggerGreyscale:Epoch: 0090 | Error G: 76.92514038085938 | Error D: -75.84476470947266
DEBUG:loggerGreyscale:Epoch: 0100 | Error G: 54.885189056396484 | Error D: -69.5841293334961
DEBUG:loggerGreyscale:Epoch: 0110 | Error G: -10.267316818237305 | Error D: -25.276601791381836
DEBUG:loggerGreyscale:Epoch: 0120 | Error G: 80.5452880859375 | Error D: -52.96510696411133
DEBUG:loggerGreyscale:Epoch: 0130 | Error G: -4.806196212768555 | Error D: -11.597175598144531
DEBUG:loggerGreyscale:Epoch: 0140 | Error G: 16.285106658935547 | Error D: 2.203901767730713
DEBUG:loggerGreyscale:Epoch: 0150 | Error G: 67.88008117675781 | Error D: -74.39493560791016
DEBUG:loggerGreyscale:Epoch: 0160 | Error G: 20.042341232299805 | Error D: -43.86600875854492
DEBUG:loggerGreyscale:Epoch: 0170 | Error G: 56.4045524597168 | Error D: -84.71614074707031
DEBUG:loggerGreyscale:Epoch: 0180 | Error G: 29.33955192565918 | Error D: -73.77760314941406
DEBUG:loggerGreyscale:Epoch: 0190 | Error G: -16.875246047973633 | Error D: -30.330068588256836
DEBUG:loggerGreyscale:Epoch: 0200 | Error G: 66.79953002929688 | Error D: -45.839908599853516
DEBUG:loggerGreyscale:Epoch: 0210 | Error G: -9.439750671386719 | Error D: -17.846712112426758
DEBUG:loggerGreyscale:Epoch: 0220 | Error G: 54.88648223876953 | Error D: -58.63716125488281
DEBUG:loggerGreyscale:Epoch: 0230 | Error G: 32.728858947753906 | Error D: -40.39694595336914
DEBUG:loggerGreyscale:Epoch: 0240 | Error G: -3.7148847579956055 | Error D: -99.96097564697266
DEBUG:loggerGreyscale:Epoch: 0250 | Error G: 11.591039657592773 | Error D: -40.0473747253418
DEBUG:loggerGreyscale:Epoch: 0260 | Error G: -25.817646026611328 | Error D: -79.88597106933594
DEBUG:loggerGreyscale:Epoch: 0270 | Error G: -9.420917510986328 | Error D: -149.923583984375
DEBUG:loggerGreyscale:Epoch: 0280 | Error G: -11.023971557617188 | Error D: -47.23939895629883
DEBUG:loggerGreyscale:Epoch: 0290 | Error G: -12.934874534606934 | Error D: -73.15596008300781
DEBUG:loggerGreyscale:Epoch: 0300 | Error G: -82.60238647460938 | Error D: -51.70194625854492
DEBUG:loggerGreyscale:Epoch: 0310 | Error G: -120.55076599121094 | Error D: 52.69793701171875
DEBUG:loggerGreyscale:Epoch: 0320 | Error G: 17.95447540283203 | Error D: -158.618896484375
DEBUG:loggerGreyscale:Epoch: 0330 | Error G: 26.43575096130371 | Error D: -210.7537078857422
DEBUG:loggerGreyscale:Epoch: 0340 | Error G: -16.403701782226562 | Error D: -113.78842163085938
DEBUG:loggerGreyscale:Epoch: 0350 | Error G: -55.326019287109375 | Error D: -147.64976501464844
DEBUG:loggerGreyscale:Epoch: 0360 | Error G: -151.81385803222656 | Error D: -178.2164764404297
DEBUG:loggerGreyscale:Epoch: 0370 | Error G: -82.16327667236328 | Error D: -146.1256561279297
DEBUG:loggerGreyscale:Epoch: 0380 | Error G: -26.14071273803711 | Error D: -183.21353149414062
DEBUG:loggerGreyscale:Epoch: 0390 | Error G: -23.691585540771484 | Error D: -254.34872436523438
DEBUG:loggerGreyscale:Epoch: 0400 | Error G: -138.635986328125 | Error D: -99.1468734741211
DEBUG:loggerGreyscale:Epoch: 0410 | Error G: -158.2855224609375 | Error D: -237.3485107421875
DEBUG:loggerGreyscale:Epoch: 0420 | Error G: -132.66651916503906 | Error D: -287.8697814941406
DEBUG:loggerGreyscale:Epoch: 0430 | Error G: -93.92473602294922 | Error D: -446.5574951171875
DEBUG:loggerGreyscale:Epoch: 0440 | Error G: -74.99324798583984 | Error D: -473.256103515625
DEBUG:loggerGreyscale:Epoch: 0450 | Error G: -177.55929565429688 | Error D: -330.575439453125
DEBUG:loggerGreyscale:Epoch: 0460 | Error G: 11.8067626953125 | Error D: -290.4488220214844
DEBUG:loggerGreyscale:Epoch: 0470 | Error G: -268.8946228027344 | Error D: -192.7415008544922
DEBUG:loggerGreyscale:Epoch: 0480 | Error G: -155.23281860351562 | Error D: -320.8394470214844
DEBUG:loggerGreyscale:Epoch: 0490 | Error G: -361.64813232421875 | Error D: -551.4713745117188
